timestamp,bus_1_v,bus_2_v,bus_3_v,bus_4_v,bus_5_v,bus_6_v,bus_7_v,bus_8_v,bus_9_v,line_L1_4_load,line_L2_7_load,line_L3_9_load,line_L4_5_load,line_L4_9_load,line_L5_6_load,line_L6_7_load,line_L7_8_load,line_L8_9_load,breaker_L1_4,breaker_L2_7,breaker_L3_9,breaker_L4_5,breaker_L4_9,breaker_L5_6,breaker_L6_7,breaker_L7_8,breaker_L8_9,anomaly_score,threat_score,attack_active,flisr_state_encoded
1779704112281,1.04,1.025,1.025,1.0237,1.0605,1.0497,1.0231,1.0569,1.0217,24.1,53.0,27.7,22.4,5.4,23.0,53.1,0.0,33.8,1,1,1,1,1,1,1,0,1,0.0,0.0,0,0
1779704113282,1.04,1.025,1.025,1.0236,1.0602,1.0494,1.023,1.057,1.0217,24.0,53.0,27.7,22.4,5.1,22.8,53.1,0.0,33.6,1,1,1,1,1,1,1,0,1,0.0,25,0,0
1779704114283,1.04,1.025,1.025,1.0235,1.0599,1.0492,1.0229,1.0568,1.0216,24.4,53.0,27.7,22.7,5.1,22.6,53.1,0.0,33.6,1,1,1,1,1,1,1,0,1,0.0,25,0,0
1779704115284,1.04,1.025,1.025,1.0235,1.0598,1.049,1.0228,1.0567,1.0216,23.9,53.0,27.7,22.1,5.2,22.9,53.1,0.0,33.7,1,1,1,1,1,1,1,0,1,0.0,25,0,0
1779704116285,1.04,1.025,1.025,1.0235,1.0597,1.049,1.0228,1.0569,1.0216,24.5,53.0,27.7,22.5,5.4,22.6,53.1,0.0,33.8,1,1,1,1,1,1,1,0,1,0.0,25,0,0
1779704117286,1.04,1.025,1.025,1.0236,1.0601,1.0493,1.0229,1.0571,1.0217,24.3,53.0,27.7,22.5,5.2,22.6,53.1,0.0,33.7,1,1,1,1,1,1,1,0,1,0.0,25,0,0
1779704118288,1.04,1.025,1.025,1.0237,1.0603,1.0495,1.023,1.0572,1.0217,24.2,53.0,27.7,22.7,4.9,22.6,53.1,0.0,33.5,1,1,1,1,1,1,1,0,1,0.0,25,0,0
1779704119289,1.04,1.025,1.025,1.0236,1.0603,1.0495,1.023,1.0568,1.0216,23.9,53.0,27.7,22.3,5.2,22.8,53.1,0.0,33.7,1,1,1,1,1,1,1,0,1,0.0,25,0,0
1779704120290,1.04,1.025,1.025,1.0236,1.0602,1.0495,1.023,1.0566,1.0216,23.5,53.0,27.7,22.1,4.9,22.6,53.1,0.0,33.4,1,1,1,1,1,1,1,0,1,0.0,25,0,0
1779704121292,1.04,1.025,1.025,1.0236,1.0602,1.0497,1.0231,1.0567,1.0216,23.1,53.0,27.7,22.1,4.6,22.5,53.1,0.0,33.1,1,1,1,1,1,1,1,0,1,0.0,25,0,0
